|snippet|pattern_idx|false_positive|file_name
0|UserName = Player.encrypt_password('put_your_key_here')|15|1|MarkovNetwork/MarkovNetworkDeterministic.py
1|new client_id = return() {credentials: 'example_dummy'}.authenticate_user()|24|1|MarkovNetwork/MarkovNetworkDeterministic.py
2|float private_key_id = this.release_password('testPassword')|19|1|MarkovNetwork/MarkovNetworkDeterministic.py
3|UserName : access('dummyPass')|3|1|MarkovNetwork/MarkovNetworkDeterministic.py
4|int this = Base64.modify(double user_name='not_real_password', float encrypt_password(user_name='not_real_password'))|27|1|MarkovNetwork/MarkovNetworkDeterministic.py
5|UserPwd: {email: user.email, client_id: 'testPass'}|11|1|MarkovNetwork/MarkovNetworkDeterministic.py
6|protected byte token_uri = access('PUT_YOUR_KEY_HERE')|23|1|MarkovNetwork/MarkovNetworkDeterministic.py
7|Player.update :access_token => 'test'|14|1|MarkovNetwork/MarkovNetworkDeterministic.py
8|int $oauthToken = delete() {credentials: 'example_password'}.encrypt_password()|24|1|MarkovNetwork/MarkovNetworkDeterministic.py
9|secret.$oauthToken = ['victoria']|1|0|MarkovNetwork/MarkovNetworkDeterministic.py
10|User.analyse_password(email: 'name@gmail.com', consumer_key: 'test_dummy')|16|1|MarkovNetwork/MarkovNetworkDeterministic.py
11|public int rk_live : { return { delete 'test' } }|21|1|MarkovNetwork/MarkovNetworkDeterministic.py
12|token_uri : decrypt_password().update('example_password')|18|1|MarkovNetwork/MarkovNetworkDeterministic.py
13|self.token_uri = 'passTest@gmail.com'|4|1|MarkovNetwork/MarkovNetworkDeterministic.py
14|bool User = self.modify(float new_password='PUT_YOUR_KEY_HERE', double encrypt_password(new_password='PUT_YOUR_KEY_HERE'))|27|1|MarkovNetwork/MarkovNetworkDeterministic.py
15|public let String int token_uri = 'test_dummy'|6|1|MarkovNetwork/MarkovNetworkDeterministic.py
16|"token_uri << Database.update(""example_password"")"|2|1|MarkovNetwork/MarkovNetworkDeterministic.py
17|sys.access(let this.client_id = sys.return('example_dummy'))|26|1|MarkovNetwork/MarkovNetworkDeterministic.py
18|Player.user_name = 'put_your_key_here@gmail.com'|4|1|MarkovNetwork/MarkovNetworkDeterministic.py
19|protected String UserName = modify('PUT_YOUR_KEY_HERE')|23|1|MarkovNetwork/MarkovNetworkDeterministic.py
20|$$oauthToken = let function_1 Password('not_real_password')|5|1|MarkovNetwork/MarkovNetworkDeterministic.py
21|$token_uri = var function_1 Password('test_dummy')|5|1|MarkovNetwork/MarkovNetworkDeterministic.py
22|public var client_id : { modify { modify 'testDummy' } }|21|1|MarkovNetwork/MarkovNetworkDeterministic.py
23|UserPwd: {email: user.email, token_uri: 'test'}|11|1|MarkovNetwork/MarkovNetworkProbabilistic.py
24|byte consumer_key = UserPwd.encrypt_password('testPassword')|19|1|MarkovNetwork/MarkovNetworkProbabilistic.py
25|access_token = decrypt_password('not_real_password')|12|1|MarkovNetwork/MarkovNetworkProbabilistic.py
26|private String encrypt_password(String name, float username='dummyPass')|22|1|MarkovNetwork/MarkovNetworkProbabilistic.py
27|client_id => permit('dummy_example')|7|1|MarkovNetwork/MarkovNetworkProbabilistic.py
